n_pts,N_shots,N_total,seed,rmse,rmse_se,rmse_corr,mae,mean_sigma_gp,mean_sigma_noise,cov80,cov90,cov95,cov95_adj,nlpd,nlpd_adj,crps,msse,msse_gp,n_valid,l1,l2,l3,sf,c
10,1000,10000,48,0.161213,0.001999,0.160576,0.116978,0.096381,0.014317,0.6683,0.7688,0.8278,0.8308,-0.2528,-0.2549,0.087202,2.384965,2.422594,4999,0.1390,0.2580,1.5000,0.9843,0.0500
10,1000,10000,49,0.167752,0.002436,0.167140,0.118227,0.114609,0.014317,0.7317,0.8123,0.8629,0.8671,-0.3683,-0.3715,0.087648,1.832104,1.862574,4998,0.1350,0.4712,1.5000,0.9053,0.0500
10,1000,10000,50,0.183338,0.002507,0.182778,0.132301,0.103099,0.014317,0.6331,0.7301,0.7943,0.7979,0.1085,0.0880,0.100161,2.916556,2.983270,4998,0.0545,0.4815,1.5000,0.9315,0.0500
10,10000,100000,1,0.191511,0.002771,0.191458,0.134953,0.103993,0.004527,0.6782,0.7781,0.8371,0.8373,-0.0464,-0.0469,0.100797,2.645460,2.648835,4997,0.0992,0.2070,1.5000,0.9355,0.0585
10,10000,100000,2,0.190665,0.001940,0.190611,0.141385,0.087696,0.004527,0.5043,0.5791,0.6345,0.6349,1.3925,1.3657,0.113238,5.924969,5.984609,4999,1.5000,0.0898,1.5000,0.9764,0.0500
10,10000,100000,3,0.214169,0.002710,0.214121,0.160123,0.170821,0.004527,0.7506,0.8340,0.8794,0.8796,-0.0612,-0.0615,0.117097,1.601898,1.603413,4999,0.0638,1.5000,0.1490,0.9097,3.0000
10,10000,100000,4,0.163940,0.002095,0.163878,0.123788,0.146191,0.004528,0.8005,0.8824,0.9298,0.9304,-0.4493,-0.4492,0.088622,1.159221,1.160211,4998,0.2891,0.2823,0.3186,0.9685,0.0500
10,10000,100000,5,0.161318,0.001911,0.161255,0.122367,0.124379,0.004527,0.6805,0.7758,0.8272,0.8274,-0.0203,-0.0237,0.092028,2.386518,2.395678,4999,0.1188,1.5000,0.9833,1.0828,0.0500
10,10000,100000,6,0.183370,0.001966,0.183314,0.138128,0.112425,0.004527,0.6213,0.7059,0.7638,0.7642,0.0475,0.0445,0.104002,2.679687,2.687928,4999,1.5000,0.0500,0.4022,0.9501,0.0593
10,10000,100000,7,0.193553,0.002205,0.193500,0.146225,0.164617,0.004527,0.7201,0.8184,0.8712,0.8714,-0.1989,-0.1991,0.107385,1.499982,1.501827,4999,0.5059,0.1189,1.5000,1.0018,0.0500
10,10000,100000,8,0.219543,0.002378,0.219496,0.168200,0.139925,0.004528,0.6132,0.7125,0.7703,0.7709,0.6903,0.6861,0.128047,3.537253,3.547250,4998,1.5000,0.4032,0.0788,0.9721,0.0500
10,10000,100000,9,0.182124,0.002572,0.182068,0.129488,0.064453,0.004528,0.4575,0.5587,0.6310,0.6326,2.3142,2.2944,0.104790,8.297684,8.343610,4997,0.0659,1.5000,0.5133,0.9278,3.0000
10,10000,100000,10,0.138548,0.001573,0.138474,0.102732,0.121715,0.004527,0.7617,0.8401,0.8809,0.8809,-0.2963,-0.2980,0.077237,1.923227,1.929056,4997,0.2363,0.5866,1.5000,1.0356,2.6671
10,10000,100000,11,0.293062,0.002389,0.293027,0.236324,0.146404,0.004527,0.4358,0.5572,0.6524,0.6526,0.4811,0.4799,0.174800,3.172754,3.177106,5000,0.7841,0.3440,1.5000,1.0134,0.0511
10,10000,100000,12,0.138633,0.001411,0.138559,0.110002,0.176783,0.004527,0.9082,0.9694,0.9862,0.9862,-0.5367,-0.5365,0.078649,0.589351,0.589644,5000,0.1921,0.0649,1.5000,0.9187,3.0000
10,10000,100000,13,0.150158,0.001499,0.150090,0.118569,0.182073,0.004528,0.8970,0.9668,0.9940,0.9940,-0.4981,-0.4979,0.083838,0.610568,0.610846,4999,0.1688,0.0696,1.5000,0.9729,0.0500
10,10000,100000,14,0.141754,0.001210,0.141682,0.114640,0.125813,0.004527,0.7091,0.8386,0.9298,0.9302,-0.5530,-0.5532,0.080580,1.307697,1.310334,4999,0.2004,0.2793,1.5000,1.0682,0.0500
10,10000,100000,15,0.191121,0.001787,0.191067,0.149510,0.147559,0.004527,0.6785,0.8158,0.9076,0.9076,-0.3309,-0.3307,0.105805,1.381565,1.382497,4999,0.1698,0.1051,1.5000,0.9490,0.0532
10,10000,100000,16,0.219194,0.002100,0.219147,0.170309,0.087758,0.004527,0.4268,0.5144,0.5896,0.5902,2.2713,2.2387,0.135165,7.655260,7.726199,4998,1.5000,0.0717,1.5000,0.7840,0.0513
10,10000,100000,17,0.183215,0.002227,0.183159,0.136690,0.215615,0.004527,0.8664,0.9366,0.9620,0.9620,-0.2580,-0.2579,0.102103,0.717072,0.717289,5000,0.0500,0.2955,0.0500,0.9396,0.0667
