u1,u2,u3,Q_jac,Q_det,gg,ee
0.000000,-0.015000,-0.400000,0.907780,0.996888,0.187943,0.804868
0.005000,-0.015000,-0.400000,0.905963,0.997382,0.189500,0.804609
0.010000,-0.015000,-0.400000,0.903386,0.997538,0.190873,0.803404
0.015000,-0.015000,-0.400000,0.900055,0.997371,0.192068,0.801269
0.020000,-0.015000,-0.400000,0.895976,0.996895,0.193103,0.798225
0.025000,-0.015000,-0.400000,0.891153,0.996125,0.193997,0.794295
0.030000,-0.015000,-0.400000,0.885603,0.995078,0.194773,0.789522
0.035000,-0.015000,-0.400000,0.879332,0.993767,0.195461,0.783938
0.040000,-0.015000,-0.400000,0.872350,0.992208,0.196092,0.777588
0.045000,-0.015000,-0.400000,0.864659,0.990414,0.196704,0.770508
0.050000,-0.015000,-0.400000,0.856282,0.988404,0.197334,0.762762
0.055000,-0.015000,-0.400000,0.847222,0.986189,0.198025,0.754392
0.060000,-0.015000,-0.400000,0.837474,0.983783,0.198821,0.745441
0.065000,-0.015000,-0.400000,0.827065,0.981202,0.199766,0.735977
0.070000,-0.015000,-0.400000,0.815992,0.978459,0.200906,0.726043
-0.070000,-0.010000,-0.400000,0.839985,0.951088,0.165588,0.714720
-0.065000,-0.010000,-0.400000,0.846491,0.957271,0.169031,0.724668
-0.060000,-0.010000,-0.400000,0.852737,0.962980,0.172356,0.734239
-0.055000,-0.010000,-0.400000,0.858660,0.968224,0.175560,0.743366
-0.050000,-0.010000,-0.400000,0.864182,0.972997,0.178630,0.751958
-0.045000,-0.010000,-0.400000,0.869252,0.977311,0.181560,0.759958
-0.040000,-0.010000,-0.400000,0.873821,0.981176,0.184341,0.767308
-0.035000,-0.010000,-0.400000,0.877834,0.984595,0.186956,0.773936
-0.030000,-0.010000,-0.400000,0.881256,0.987578,0.189399,0.779800
-0.025000,-0.010000,-0.400000,0.884052,0.990138,0.191656,0.784854
-0.020000,-0.010000,-0.400000,0.886199,0.992285,0.193721,0.789066
-0.015000,-0.010000,-0.400000,0.887670,0.994028,0.195582,0.792397
-0.010000,-0.010000,-0.400000,0.888451,0.995382,0.197235,0.794831
-0.005000,-0.010000,-0.400000,0.888531,0.996360,0.198679,0.796355
0.000000,-0.010000,-0.400000,0.887903,0.996973,0.199911,0.796960
0.005000,-0.010000,-0.400000,0.886565,0.997238,0.200939,0.796650
0.010000,-0.010000,-0.400000,0.884515,0.997167,0.201771,0.795431
0.015000,-0.010000,-0.400000,0.881759,0.996776,0.202418,0.793322
0.020000,-0.010000,-0.400000,0.878299,0.996080,0.202898,0.790343
0.025000,-0.010000,-0.400000,0.874138,0.995093,0.203235,0.786518
0.030000,-0.010000,-0.400000,0.869289,0.993832,0.203452,0.781887
