axis,u_scan,u1,u2,u3,Q_jac_det,Q_det,Q_shot_mean,Q_shot_std,Q_db_mean,Q_db_std,bias_empirical,bias_theory,bias_residual,db_error,gg,ee
u1,0.004573,0.004573,0.003966,0.082414,0.998451,0.999496,0.994127,0.004282,0.995625,0.004906,0.004324,0.004214,0.000111,0.002826,0.144525,0.853915
u1,0.005276,0.005276,0.003966,0.082414,0.998236,0.999417,0.994669,0.003813,0.996356,0.004454,0.003567,0.004037,-0.000471,0.001880,0.144445,0.853779
u1,0.005980,0.005980,0.003966,0.082414,0.998003,0.999332,0.994089,0.003728,0.995758,0.004478,0.003914,0.003852,0.000061,0.002245,0.144363,0.853628
u1,0.006683,0.006683,0.003966,0.082414,0.997748,0.999240,0.994011,0.003994,0.995714,0.004827,0.003737,0.003658,0.000079,0.002034,0.144278,0.853457
u1,0.007387,0.007387,0.003966,0.082414,0.997475,0.999142,0.993182,0.004176,0.994836,0.005071,0.004292,0.003458,0.000835,0.002639,0.144192,0.853271
u1,0.008090,0.008090,0.003966,0.082414,0.997180,0.999037,0.994273,0.003557,0.996388,0.004466,0.002906,0.003252,-0.000346,0.000792,0.144103,0.853065
u1,0.008794,0.008794,0.003966,0.082414,0.996868,0.998926,0.993680,0.003731,0.995658,0.004756,0.003187,0.003046,0.000141,0.001210,0.144012,0.852844
u1,0.009497,0.009497,0.003966,0.082414,0.996534,0.998809,0.993396,0.003924,0.995436,0.004889,0.003137,0.002839,0.000299,0.001098,0.143918,0.852604
u1,0.010201,0.010201,0.003966,0.082414,0.996183,0.998686,0.993725,0.003098,0.995814,0.003985,0.002458,0.002635,-0.000177,0.000369,0.143823,0.852349
u1,0.010905,0.010905,0.003966,0.082414,0.995813,0.998557,0.993490,0.003276,0.995540,0.004135,0.002323,0.002436,-0.000113,0.000273,0.143725,0.852076
u1,0.011608,0.011608,0.003966,0.082414,0.995421,0.998421,0.993247,0.003828,0.995321,0.004610,0.002174,0.002241,-0.000067,0.000100,0.143625,0.851785
u1,0.012312,0.012312,0.003966,0.082414,0.995013,0.998280,0.993306,0.002698,0.995299,0.003305,0.001707,0.002056,-0.000349,-0.000286,0.143523,0.851478
u1,0.013015,0.013015,0.003966,0.082414,0.994583,0.998132,0.992201,0.003643,0.993946,0.004342,0.002382,0.001879,0.000503,0.000637,0.143419,0.851153
u1,0.013719,0.013719,0.003966,0.082414,0.994137,0.997979,0.992286,0.003456,0.994094,0.004081,0.001851,0.001714,0.000137,0.000043,0.143313,0.850812
u1,0.014422,0.014422,0.003966,0.082414,0.993669,0.997819,0.992054,0.003305,0.993788,0.003859,0.001615,0.001560,0.000056,-0.000118,0.143204,0.850453
u1,0.015126,0.015126,0.003966,0.082414,0.993186,0.997654,0.992137,0.002808,0.993797,0.003233,0.001050,0.001418,-0.000369,-0.000611,0.143095,0.850079
u1,0.015829,0.015829,0.003966,0.082414,0.992681,0.997483,0.991467,0.003153,0.992981,0.003515,0.001214,0.001289,-0.000074,-0.000300,0.142983,0.849687
u1,0.016533,0.016533,0.003966,0.082414,0.992161,0.997306,0.991286,0.002267,0.992782,0.002590,0.000875,0.001172,-0.000297,-0.000621,0.142869,0.849280
u1,0.017236,0.017236,0.003966,0.082414,0.991619,0.997123,0.990900,0.002208,0.992401,0.002520,0.000719,0.001066,-0.000348,-0.000781,0.142753,0.848854
u1,0.017940,0.017940,0.003966,0.082414,0.991063,0.996936,0.990232,0.002246,0.991570,0.002471,0.000831,0.000973,-0.000142,-0.000507,0.142637,0.848415
u1,0.018643,0.018643,0.003966,0.082414,0.990489,0.996743,0.989400,0.002703,0.990716,0.002979,0.001089,0.000889,0.000201,-0.000227,0.142518,0.847959
u1,0.019347,0.019347,0.003966,0.082414,0.989893,0.996543,0.989439,0.001770,0.990664,0.002065,0.000455,0.000814,-0.000359,-0.000771,0.142397,0.847484
u1,0.020050,0.020050,0.003966,0.082414,0.989284,0.996338,0.988247,0.002878,0.989328,0.003104,0.001037,0.000747,0.000289,-0.000045,0.142276,0.846996
u1,0.020754,0.020754,0.003966,0.082414,0.988652,0.996127,0.988271,0.001792,0.989251,0.001955,0.000381,0.000687,-0.000306,-0.000599,0.142152,0.846489
u1,0.021457,0.021457,0.003966,0.082414,0.988008,0.995912,0.987763,0.001573,0.988851,0.001760,0.000244,0.000634,-0.000389,-0.000843,0.142027,0.845969
u1,0.022161,0.022161,0.003966,0.082414,0.987342,0.995690,0.986609,0.002437,0.987515,0.002534,0.000733,0.000585,0.000148,-0.000174,0.141900,0.845429
u1,0.022864,0.022864,0.003966,0.082414,0.986663,0.995465,0.986043,0.001903,0.986955,0.002012,0.000620,0.000541,0.000079,-0.000292,0.141773,0.844878
u1,0.023568,0.023568,0.003966,0.082414,0.985962,0.995232,0.985491,0.001859,0.986259,0.001908,0.000471,0.000499,-0.000028,-0.000297,0.141644,0.844307
u1,0.024271,0.024271,0.003966,0.082414,0.985250,0.994996,0.984801,0.001989,0.985434,0.002034,0.000449,0.000462,-0.000013,-0.000184,0.141514,0.843724
u1,0.024975,0.024975,0.003966,0.082414,0.984521,0.994755,0.983954,0.002041,0.984757,0.002188,0.000567,0.000427,0.000141,-0.000236,0.141383,0.843126
u1,0.025678,0.025678,0.003966,0.082414,0.983771,0.994507,0.983368,0.001514,0.984199,0.001604,0.000403,0.000394,0.000010,-0.000428,0.141250,0.842509
u1,0.026382,0.026382,0.003966,0.082414,0.983009,0.994255,0.982771,0.001682,0.983543,0.001975,0.000238,0.000363,-0.000125,-0.000534,0.141117,0.841880
u1,0.027085,0.027085,0.003966,0.082414,0.982226,0.993997,0.981874,0.002151,0.982534,0.002331,0.000352,0.000334,0.000018,-0.000308,0.140983,0.841232
u1,0.027789,0.027789,0.003966,0.082414,0.981433,0.993735,0.981080,0.001820,0.981714,0.001957,0.000353,0.000307,0.000046,-0.000282,0.140848,0.840573
u1,0.028492,0.028492,0.003966,0.082414,0.980618,0.993467,0.980462,0.001548,0.981153,0.001711,0.000155,0.000282,-0.000126,-0.000535,0.140711,0.839894
u1,0.029196,0.029196,0.003966,0.082414,0.979793,0.993196,0.979585,0.001943,0.980157,0.002144,0.000208,0.000258,-0.000051,-0.000365,0.140575,0.839206
u1,0.029899,0.029899,0.003966,0.082414,0.978946,0.992918,0.978733,0.001759,0.979265,0.001685,0.000214,0.000236,-0.000022,-0.000319,0.140437,0.838497
u1,0.030603,0.030603,0.003966,0.082414,0.978091,0.992637,0.977568,0.002607,0.978153,0.002790,0.000523,0.000216,0.000308,-0.000062,0.140300,0.837779
u1,0.031307,0.031307,0.003966,0.082414,0.977214,0.992350,0.976870,0.001965,0.977464,0.002121,0.000344,0.000197,0.000147,-0.000250,0.140161,0.837041
u1,0.032010,0.032010,0.003966,0.082414,0.976329,0.992060,0.976105,0.002072,0.976626,0.002048,0.000224,0.000179,0.000045,-0.000297,0.140023,0.836294
u1,0.032714,0.032714,0.003966,0.082414,0.975429,0.991765,0.975491,0.001763,0.976069,0.001933,-0.000062,0.000163,-0.000224,-0.000640,0.139884,0.835533
u1,0.033417,0.033417,0.003966,0.082414,0.974508,0.991463,0.974215,0.002052,0.974724,0.002120,0.000293,0.000148,0.000146,-0.000216,0.139745,0.834752
u1,0.034121,0.034121,0.003966,0.082414,0.973579,0.991159,0.973391,0.001924,0.973812,0.002116,0.000188,0.000134,0.000055,-0.000233,0.139606,0.833962
u1,0.034824,0.034824,0.003966,0.082414,0.972630,0.990849,0.972738,0.001593,0.973157,0.001758,-0.000108,0.000121,-0.000229,-0.000527,0.139466,0.833152
u1,0.035528,0.035528,0.003966,0.082414,0.971673,0.990536,0.971382,0.002054,0.971778,0.002121,0.000291,0.000109,0.000182,-0.000105,0.139327,0.832335
u1,0.036231,0.036231,0.003966,0.082414,0.970696,0.990216,0.970689,0.001569,0.971027,0.001661,0.000007,0.000099,-0.000091,-0.000331,0.139187,0.831497
u1,0.036935,0.036935,0.003966,0.082414,0.969712,0.989895,0.969723,0.001701,0.970142,0.001819,-0.000010,0.000089,-0.000099,-0.000430,0.139048,0.830652
u1,0.037638,0.037638,0.003966,0.082414,0.968708,0.989567,0.968754,0.001874,0.969034,0.001933,-0.000046,0.000080,-0.000126,-0.000326,0.138909,0.829787
u1,0.038342,0.038342,0.003966,0.082414,0.967698,0.989237,0.967658,0.001947,0.968017,0.002063,0.000039,0.000072,-0.000032,-0.000320,0.138771,0.828915
u1,0.039045,0.039045,0.003966,0.082414,0.966667,0.988900,0.966544,0.002295,0.966807,0.002425,0.000123,0.000064,0.000059,-0.000139,0.138632,0.828023
u1,0.039749,0.039749,0.003966,0.082414,0.965632,0.988562,0.965346,0.001855,0.965603,0.002013,0.000286,0.000058,0.000228,0.000029,0.138495,0.827125
u1,0.040452,0.040452,0.003966,0.082414,0.964583,0.988219,0.964400,0.002044,0.964642,0.002045,0.000183,0.000052,0.000131,-0.000059,0.138359,0.826213
