score_mode,N,seed,selected_rank,iter,point_idx,x_u1,x_u2,x_u3,y,sigma_y
full_l1,100,387749,1,30,24,0.095218166343350896,-0.0014983334153395589,0.48941745815308502,0.89000000000000001,0.029068673380023145
full_l1,100,387749,1,30,25,-0.0024553224665819773,-0.031251336694566811,0.49830056976570392,0.92000000000000004,0.027805273025200705
full_l1,100,387749,1,30,26,0.031181953076830471,0.013241925148870681,0.21152157656804493,0.98999999999999999,0.01102894183382948
full_l1,100,387749,1,30,27,0.010341018935559276,0.043572267231752004,0.47606956486031393,0.98999999999999999,0.01920343985327581
full_l1,100,387749,1,30,28,0.034982307079060249,0.028556972195214581,0.44960936972346932,0.97999999999999998,0.01641727302266242
full_l1,100,387749,1,30,29,0.013428631017785131,0.0080827401338685601,0.38633228498119543,1,0.010045487371070572
full_l1,100,387749,1,30,30,-0.014932631209528147,0.010195195336159868,0.30441605062924082,1,0.0083727194509466262
full_l1,100,387749,1,30,31,0.009558941988240699,0.03990458511473971,0.043794452387930782,0.95999999999999996,0.020234770132073532
full_l1,100,387749,1,30,32,0.0041741384534157433,0.013746121735536132,0.42115510541072054,1,0.010112676888847781
full_l1,100,387749,1,30,33,0.03044529725307954,0.042884756941162561,0.26113601975158618,0.96999999999999997,0.020716301175739863
full_l1,100,387749,1,30,34,-0.012011783673109067,0.0058357707260039415,0.095631563101090666,1,0.0046614135171359232
full_l1,100,387749,1,30,35,-0.025008559891228188,-0.014162973067536333,0.22570839111379537,0.98999999999999999,0.01445677195839605
full_l1,100,387749,1,30,36,0.0086534266579683106,0.011376198049847241,0.29564687285732205,1,0.007570707385018906
full_l1,100,387749,1,30,37,0.021449335722954821,-0.0011589290126736707,-0.011249955497336872,1,0.0066189116770092402
full_l1,100,387749,1,30,38,0.071928730112425621,0.024402725196460695,-0.44916412749421419,0.89000000000000001,0.029636048088462721
full_l1,100,387749,1,30,39,-0.0057863184858470973,-0.0021189326953128251,-0.11041633881891921,1,0.0041999378817067952
full_l1,100,387749,1,30,40,0.0048487846740601359,-0.018312914740093778,0.10026912220032291,0.97999999999999998,0.011444269665987031
full_l1,100,387749,1,30,41,0.012809222344836613,0.0086424804623832507,0.014499002104963576,0.98999999999999999,0.0064834078477906372
full_l1,100,387749,1,30,42,0.027111462443187628,-0.0077125237496449284,-0.16772978048150811,0.98999999999999999,0.0097677986329977751
full_l1,100,387749,1,50,1,-0.20833333333333331,-0.041666666666666685,0.12499999999999989,0.58000000000000007,0.048752103402800132
full_l1,100,387749,1,50,2,0.37499999999999989,0.37499999999999989,-0.29166666666666669,0.13000000000000012,0.033855937371552021
full_l1,100,387749,1,50,3,-0.041666666666666685,-0.125,-0.041666666666666685,0.57999999999999996,0.048788805475500477
full_l1,100,387749,1,50,4,0.29166666666666663,-0.20833333333333331,-0.125,0.25,0.046959502517989173
full_l1,100,387749,1,50,5,0.45833333333333326,0.45833333333333326,0.29166666666666663,0.030000000000000027,0.013546768502445692
full_l1,100,387749,1,50,6,0.04166666666666663,0.20833333333333326,-0.20833333333333331,0.59999999999999998,0.049402927418332181
full_l1,100,387749,1,50,7,0.12499999999999989,-0.375,0.20833333333333326,0.35999999999999999,0.048959775349542517
full_l1,100,387749,1,50,8,-0.45833333333333331,0.29166666666666663,0.04166666666666663,0.080000000000000071,0.031230421973824002
full_l1,100,387749,1,50,9,-0.29166666666666669,-0.29166666666666669,-0.375,0.41999999999999993,0.047998295162476952
full_l1,100,387749,1,50,10,-0.125,0.12499999999999989,-0.45833333333333331,0.60999999999999999,0.048657264318265905
