N,seed,selected_rank,iter,n_train,axis,x_u,x_physical,physical_unit,mu,sigma
100,191889,1,10,22,fcl,-0.23999999999999999,-2.3999999999999999,kHz,0.58597408249872041,0.085994552973642543
100,191889,1,10,22,fcl,-0.23499999999999999,-2.3500000000000001,kHz,0.59497801335843026,0.083678869054820457
100,191889,1,10,22,fcl,-0.23000000000000001,-2.2999999999999998,kHz,0.60415111079480599,0.081432061617819629
100,191889,1,10,22,fcl,-0.22500000000000001,-2.25,kHz,0.61348962185592693,0.079257738471654432
100,191889,1,10,22,fcl,-0.22,-2.2000000000000002,kHz,0.62298913063169903,0.077158334719853783
100,191889,1,10,22,fcl,-0.215,-2.1499999999999999,kHz,0.63264451108315523,0.075134946554206827
100,191889,1,10,22,fcl,-0.20999999999999999,-2.1000000000000001,kHz,0.6424498852599253,0.07318720367533893
100,191889,1,10,22,fcl,-0.20499999999999999,-2.0499999999999998,kHz,0.6523985883425073,0.071313193421657844
100,191889,1,10,22,fcl,-0.20000000000000001,-2,kHz,0.66248314152747312,0.06950944705484817
100,191889,1,10,22,fcl,-0.19500000000000001,-1.95,kHz,0.67269523322431091,0.06777099452634458
100,191889,1,10,22,fcl,-0.19,-1.8999999999999999,kHz,0.68302570842093335,0.066091488898777737
100,191889,1,10,22,fcl,-0.185,-1.8500000000000001,kHz,0.69346456548468982,0.06446339611738347
100,191889,1,10,22,fcl,-0.17999999999999999,-1.8,kHz,0.70400095917773264,0.062878240806294311
100,191889,1,10,22,fcl,-0.17499999999999999,-1.75,kHz,0.71462320834068338,0.061326894904650542
100,191889,1,10,22,fcl,-0.17000000000000001,-1.7000000000000002,kHz,0.72531880656721281,0.059799893721375896
100,191889,1,10,22,fcl,-0.16500000000000001,-1.6499999999999999,kHz,0.73607443425226071,0.058287763519903883
100,191889,1,10,22,fcl,-0.16,-1.6000000000000001,kHz,0.74687597061942501,0.05678134587603921
100,191889,1,10,22,fcl,-0.155,-1.55,kHz,0.75770850467364381,0.055272106379064052
100,191889,1,10,22,fcl,-0.14999999999999999,-1.5,kHz,0.76855634443390786,0.053752418245402021
100,191889,1,10,22,fcl,-0.14499999999999999,-1.45,kHz,0.77940302423111119,0.052215814561195749
100,191889,1,10,22,fcl,-0.14000000000000001,-1.4000000000000001,kHz,0.79023131027106153,0.050657205726419859
100,191889,1,10,22,fcl,-0.13500000000000001,-1.3500000000000001,kHz,0.8010232050346866,0.049073060931514541
