score_mode,axis,x_u,x_physical,physical_unit,score
full_l1,fsb,0.185,1.8500000000000001,kHz,0.61452655630029396
full_l1,fsb,0.19,1.8999999999999999,kHz,0.60647947437082794
full_l1,fsb,0.19500000000000001,1.95,kHz,0.59877858979249554
full_l1,fsb,0.20000000000000001,2,kHz,0.5914164453932339
full_l1,fsb,0.20499999999999999,2.0499999999999998,kHz,0.58438488513537912
full_l1,fsb,0.20999999999999999,2.1000000000000001,kHz,0.57767519158743208
full_l1,fsb,0.215,2.1499999999999999,kHz,0.5712782152858169
full_l1,fsb,0.22,2.2000000000000002,kHz,0.56518448764923912
full_l1,fsb,0.22500000000000001,2.25,kHz,0.55938431824139312
full_l1,fsb,0.23000000000000001,2.2999999999999998,kHz,0.55386788791979047
full_l1,fsb,0.23499999999999999,2.3500000000000001,kHz,0.54862532246422457
full_l1,fsb,0.23999999999999999,2.3999999999999999,kHz,0.54364675971840337
full_l1,fsb,0.245,2.4500000000000002,kHz,0.53892240663811897
full_l1,fsb,0.25,2.5,kHz,0.53444259297462537
full_l1,fsb,0.255,2.5499999999999998,kHz,0.53019780499441593
full_l1,fsb,0.26000000000000001,2.6000000000000001,kHz,0.52617872781670627
full_l1,fsb,0.26500000000000001,2.6499999999999999,kHz,0.52237626931732428
full_l1,fsb,0.27000000000000002,2.7000000000000002,kHz,0.51878158385451845
full_l1,fsb,0.27500000000000002,2.75,kHz,0.51538608954216014
full_l1,fsb,0.28000000000000003,2.8000000000000003,kHz,0.51218148494769244
full_l1,fsb,0.28499999999999998,2.8499999999999996,kHz,0.50915975489434206
full_l1,fsb,0.28999999999999998,2.8999999999999999,kHz,0.50631318013834392
full_l1,fsb,0.29499999999999998,2.9500000000000002,kHz,0.50363433747037822
full_l1,fsb,0.29999999999999999,3,kHz,0.50111610557657715
full_l1,fsb,0.30499999999999999,3.0499999999999998,kHz,0.49875166114314817
