axis,x_u,x_physical,physical_unit,score
fsb,0.040000000000000001,0.40000000000000002,kHz,0.95512699533724477
fsb,0.044999999999999998,0.45000000000000001,kHz,0.94489189074268209
fsb,0.050000000000000003,0.5,kHz,0.9339370148569428
fsb,0.055,0.55000000000000004,kHz,0.92235717856902633
fsb,0.059999999999999998,0.59999999999999998,kHz,0.91024510742077847
fsb,0.065000000000000002,0.65000000000000002,kHz,0.89769059794232087
fsb,0.070000000000000007,0.70000000000000007,kHz,0.88477980215476693
fsb,0.074999999999999997,0.75,kHz,0.87159463904206136
fsb,0.080000000000000002,0.80000000000000004,kHz,0.85821232918928203
fsb,0.085000000000000006,0.85000000000000009,kHz,0.84470504589874018
fsb,0.089999999999999997,0.90000000000000002,kHz,0.83113967712714609
fsb,0.095000000000000001,0.94999999999999996,kHz,0.81757768725873503
fsb,0.10000000000000001,1,kHz,0.80407506767578463
fsb,0.105,1.05,kHz,0.79068236922402813
fsb,0.11,1.1000000000000001,kHz,0.77744479665118482
fsb,0.115,1.1499999999999999,kHz,0.76440236932756933
fsb,0.12,1.2,kHz,0.75159011960366728
fsb,0.125,1.25,kHz,0.73903832998127683
fsb,0.13,1.3,kHz,0.72677280721558946
fsb,0.13500000000000001,1.3500000000000001,kHz,0.71481516082845686
fsb,0.14000000000000001,1.4000000000000001,kHz,0.70318310491721969
fsb,0.14499999999999999,1.45,kHz,0.69189076181266174
fsb,0.14999999999999999,1.5,kHz,0.68094897046528235
fsb,0.155,1.55,kHz,0.6703655816689833
fsb,0.16,1.6000000000000001,kHz,0.66014575398728526
fsb,0.16500000000000001,1.6499999999999999,kHz,0.65029223687067239
fsb,0.17000000000000001,1.7000000000000002,kHz,0.64080563655530853
fsb,0.17499999999999999,1.75,kHz,0.63168467804336426
fsb,0.17999999999999999,1.8,kHz,0.62292643468735565
fsb,0.185,1.8500000000000001,kHz,0.61452655630029895
fsb,0.19,1.8999999999999999,kHz,0.60647947437081295
fsb,0.19500000000000001,1.95,kHz,0.59877858979250731
fsb,0.20000000000000001,2,kHz,0.59141644539320681
fsb,0.20499999999999999,2.0499999999999998,kHz,0.58438488513536668
fsb,0.20999999999999999,2.1000000000000001,kHz,0.57767519158741043
fsb,0.215,2.1499999999999999,kHz,0.57127821528579503
fsb,0.22,2.2000000000000002,kHz,0.56518448764922613
fsb,0.22500000000000001,2.25,kHz,0.55938431824143175
fsb,0.23000000000000001,2.2999999999999998,kHz,0.55386788791970165
fsb,0.23499999999999999,2.3500000000000001,kHz,0.54862532246417317
fsb,0.23999999999999999,2.3999999999999999,kHz,0.5436467597183936
fsb,0.245,2.4500000000000002,kHz,0.53892240663806534
fsb,0.25,2.5,kHz,0.53444259297468411
fsb,0.255,2.5499999999999998,kHz,0.5301978049944106
fsb,0.26000000000000001,2.6000000000000001,kHz,0.52617872781670438
fsb,0.26500000000000001,2.6499999999999999,kHz,0.5223762693172932
fsb,0.27000000000000002,2.7000000000000002,kHz,0.51878158385450568
fsb,0.27500000000000002,2.75,kHz,0.51538608954213172
fsb,0.28000000000000003,2.8000000000000003,kHz,0.51218148494767124
fsb,0.28499999999999998,2.8499999999999996,kHz,0.50915975489398668
fsb,0.28999999999999998,2.8999999999999999,kHz,0.50631318013834004
fsb,0.29499999999999998,2.9500000000000002,kHz,0.50363433747037789
fsb,0.29999999999999999,3,kHz,0.50111610557657316
fsb,0.30499999999999999,3.0499999999999998,kHz,0.49875166114305047
fsb,0.31,3.1000000000000001,kHz,0.49653447523986655
fsb,0.315,3.1499999999999999,kHz,0.49445830963946313
fsb,0.32000000000000001,3.2000000000000002,kHz,0.49251721345755795
fsb,0.32500000000000001,3.25,kHz,0.49070551447669974
fsb,0.33000000000000002,3.2999999999999998,kHz,0.48901781150756835
fsb,0.33500000000000002,3.3500000000000001,kHz,0.48744896755590034
fsb,0.34000000000000002,3.4000000000000004,kHz,0.48599409940149585
fsb,0.34499999999999997,3.4499999999999997,kHz,0.48464857115507126
fsb,0.34999999999999998,3.5,kHz,0.48340798251663092
fsb,0.35499999999999998,3.5499999999999998,kHz,0.48226816368848496
fsb,0.35999999999999999,3.6000000000000001,kHz,0.48122515800658155
fsb,0.36499999999999999,3.6499999999999999,kHz,0.48027522179200688
fsb,0.37,3.7000000000000002,kHz,0.47941480681114934
fsb,0.375,3.75,kHz,0.47864055778608633
fsb,0.38,3.7999999999999998,kHz,0.47794929843799938
fsb,0.38500000000000001,3.8500000000000001,kHz,0.47733802365518158
fsb,0.39000000000000001,3.8999999999999999,kHz,0.47680389194782319
fsb,0.39500000000000002,3.9500000000000002,kHz,0.47634421538048122
fsb,0.40000000000000002,4,kHz,0.47595645127784481
fsb,0.40500000000000003,4.0500000000000007,kHz,0.47563819348242814
fsb,0.40999999999999998,4.0999999999999996,kHz,0.47538716561017397
fsb,0.41499999999999998,4.1500000000000004,kHz,0.47520121219414413
fsb,0.41999999999999998,4.2000000000000002,kHz,0.47507828962634335
fsb,0.42499999999999999,4.25,kHz,0.47501646137308645
fsb,0.42999999999999999,4.2999999999999998,kHz,0.4750138883787029
fsb,0.435,4.3499999999999996,kHz,0.47506882295637759
