# u1-u3 slice at u2=-0.0  metric=q_varMS  grid=71
# axis_a=u1  axis_b=u3
u1,u3,q
-0.714286,0.428571,0.433820
-0.714286,0.457143,0.432530
-0.714286,0.485714,0.431371
-0.714286,0.514286,0.431483
-0.714286,0.542857,0.429822
-0.714286,0.571429,0.427871
-0.714286,0.600000,0.427251
-0.714286,0.628571,0.424217
-0.714286,0.657143,0.424513
-0.714286,0.685714,0.424671
-0.714286,0.714286,0.422561
-0.714286,0.742857,0.423027
-0.714286,0.771429,0.420410
-0.714286,0.800000,0.420267
-0.714286,0.828571,0.418579
-0.714286,0.857143,0.419051
-0.714286,0.885714,0.417509
-0.714286,0.914286,0.417859
-0.714286,0.942857,0.415960
-0.714286,0.971429,0.415724
-0.714286,1.000000,0.413717
-0.685714,-1.000000,0.522949
-0.685714,-0.971429,0.521412
-0.685714,-0.942857,0.520423
-0.685714,-0.914286,0.522279
-0.685714,-0.885714,0.521057
-0.685714,-0.857143,0.520696
-0.685714,-0.828571,0.518219
-0.685714,-0.800000,0.519359
-0.685714,-0.771429,0.518688
-0.685714,-0.742857,0.517139
-0.685714,-0.714286,0.516746
-0.685714,-0.685714,0.515684
-0.685714,-0.657143,0.514066
-0.685714,-0.628571,0.515058
-0.685714,-0.600000,0.514439
-0.685714,-0.571429,0.512134
-0.685714,-0.542857,0.511129
-0.685714,-0.514286,0.510812
-0.685714,-0.485714,0.509206
-0.685714,-0.457143,0.508327
-0.685714,-0.428571,0.507855
-0.685714,-0.400000,0.507274
-0.685714,-0.371429,0.505342
-0.685714,-0.342857,0.504951
-0.685714,-0.314286,0.505548
-0.685714,-0.285714,0.502957
-0.685714,-0.257143,0.499901
-0.685714,-0.228571,0.499330
-0.685714,-0.200000,0.500327
-0.685714,-0.171429,0.498727
-0.685714,-0.142857,0.497771
-0.685714,-0.114286,0.495934
-0.685714,-0.085714,0.495472
-0.685714,-0.057143,0.495280
-0.685714,-0.028571,0.494355
-0.685714,0.000000,0.492423
-0.685714,0.028571,0.491018
-0.685714,0.057143,0.490710
-0.685714,0.085714,0.488443
-0.685714,0.114286,0.488507
-0.685714,0.142857,0.486865
-0.685714,0.171429,0.485648
-0.685714,0.200000,0.485202
-0.685714,0.228571,0.484461
-0.685714,0.257143,0.482098
-0.685714,0.285714,0.480996
-0.685714,0.314286,0.480584
-0.685714,0.342857,0.479250
-0.685714,0.371429,0.476633
